"Gruppe","Anzahl","Masse","Ind.Masse","Pb","Cd"
1,"A",11,6.1,.6,10,7
2,"A",24,13.3,.6,2,6
3,"A",14,4.2,.3,6,5
4,"A",14,5.8,.4,7,4
5,"A",9,4.8,.5,9,9
6,"A",9,6.7,.7,7,8
7,"A",19,13.3,.7,20,12
8,"A",11,6.5,.6,3,11
9,"A",5,3.2,.6,18,13
10,"A",5,6.1,1.2,3,4
11,"B",6,7.8,1.3,20,40
12,"B",11,4.4,.4,4,2
13,"B",4,3.6,.9,9,13
14,"B",3,8.3,2.8,28,59
15,"B",5,6.8,1.4,28,16
16,"B",7,12.3,1.8,72,29
17,"B",17,5.6,.3,57,8
18,"B",2,3,1.5,44,38
19,"B",16,44.8,2.8,70,84
20,"B",6,7.8,1.3,17,17
21,"C",19,30.4,1.6,15,31
22,"C",6,9.6,1.6,79,17
23,"C",8,18.3,2.3,67,55
24,"C",27,61.6,2.3,26,13
25,"C",5,7.1,1.4,33,18
26,"C",5,11.1,2.2,67,34
27,"C",9,26.1,2.9,22,31
28,"C",62,67.8,1.1,29,7
29,"C",13,17.5,1.3,49,16
30,"C",3,3.8,1.3,12,5
31,"D",8,13,1.6,21,39
32,"D",4,13,3.3,52,11
33,"D",8,15,1.9,100,9
34,"D",15,21,1.4,30,8
35,"D",29,48,1.7,84,20
36,"D",6,18,3,138,37
